edge_id,source_suspect_id,target_suspect_id,interaction_weight,edge_type
E0073,SUS0114,SUS0145,6,Financial+Call
E0074,SUS0054,SUS0073,6,Financial+Call
E0075,SUS0012,SUS0030,6,Financial+Call
E0076,SUS0043,SUS0108,6,Financial+Call
E0077,SUS0001,SUS0032,6,Financial+Call
E0078,SUS0054,SUS0061,6,Financial+Call
E0079,SUS0078,SUS0150,6,Financial+Call
E0080,SUS0004,SUS0071,6,Financial+Call
E0081,SUS0089,SUS0111,6,Financial+Call
E0082,SUS0002,SUS0060,6,Financial+Call
E0083,SUS0022,SUS0131,6,Financial+Call
E0084,SUS0012,SUS0095,6,Financial+Call
E0085,SUS0029,SUS0150,6,Financial+Call
E0086,SUS0078,SUS0129,6,Financial+Call
E0087,SUS0080,SUS0108,6,Financial+Call
E0088,SUS0057,SUS0140,6,Financial+Call
E0089,SUS0041,SUS0148,6,Financial+Call
E0090,SUS0084,SUS0147,5,Mixed
E0091,SUS0058,SUS0148,5,Mixed
E0092,SUS0054,SUS0094,5,Mixed
E0093,SUS0137,SUS0149,5,Mixed
E0094,SUS0083,SUS0123,5,Mixed
E0095,SUS0075,SUS0145,5,Mixed
E0096,SUS0050,SUS0084,5,Mixed
E0097,SUS0013,SUS0089,5,Mixed
E0098,SUS0026,SUS0043,5,Mixed
E0099,SUS0033,SUS0083,5,Mixed
E0100,SUS0044,SUS0074,5,Mixed
E0101,SUS0023,SUS0096,5,Mixed
E0102,SUS0035,SUS0044,5,Mixed
E0103,SUS0051,SUS0080,5,Mixed
E0104,SUS0045,SUS0090,5,Mixed
E0105,SUS0088,SUS0147,5,Mixed
E0106,SUS0027,SUS0062,5,Mixed
E0107,SUS0019,SUS0081,5,Mixed
E0108,SUS0018,SUS0122,5,Mixed
E0109,SUS0015,SUS0132,5,Mixed
E0110,SUS0034,SUS0097,5,Mixed
E0111,SUS0091,SUS0150,5,Mixed
E0112,SUS0118,SUS0124,5,Mixed
E0113,SUS0027,SUS0137,5,Mixed
E0114,SUS0116,SUS0149,5,Mixed
E0115,SUS0043,SUS0045,5,Mixed
E0116,SUS0109,SUS0121,5,Mixed
E0117,SUS0025,SUS0104,5,Mixed
E0118,SUS0053,SUS0097,5,Mixed
E0119,SUS0084,SUS0092,5,Mixed
E0120,SUS0012,SUS0126,5,Mixed
E0121,SUS0037,SUS0126,5,Mixed
E0122,SUS0011,SUS0117,5,Mixed
E0123,SUS0103,SUS0150,5,Mixed
E0124,SUS0004,SUS0116,5,Mixed
E0125,SUS0114,SUS0121,5,Mixed
E0126,SUS0033,SUS0123,5,Mixed
E0127,SUS0009,SUS0088,5,Mixed
E0128,SUS0122,SUS0126,5,Mixed
E0129,SUS0065,SUS0104,5,Mixed
E0130,SUS0068,SUS0125,5,Mixed
E0131,SUS0112,SUS0117,5,Mixed
E0132,SUS0072,SUS0099,5,Mixed
E0133,SUS0070,SUS0088,5,Mixed
E0134,SUS0008,SUS0094,5,Mixed
E0135,SUS0077,SUS0139,5,Mixed
E0136,SUS0025,SUS0133,5,Mixed
E0137,SUS0112,SUS0135,5,Mixed
E0138,SUS0070,SUS0084,5,Mixed
E0139,SUS0071,SUS0137,5,Mixed
E0140,SUS0016,SUS0054,5,Mixed
E0141,SUS0041,SUS0069,5,Mixed
E0142,SUS0001,SUS0097,5,Mixed
E0143,SUS0022,SUS0122,5,Mixed
E0144,SUS0028,SUS0150,5,Mixed
E0145,SUS0011,SUS0073,5,Mixed
E0146,SUS0029,SUS0078,5,Mixed
E0147,SUS0003,SUS0102,5,Mixed
E0148,SUS0041,SUS0058,5,Mixed
E0149,SUS0106,SUS0142,5,Mixed
E0150,SUS0031,SUS0061,5,Mixed
E0151,SUS0046,SUS0114,5,Mixed
E0152,SUS0067,SUS0120,5,Mixed
E0153,SUS0024,SUS0147,5,Mixed
E0154,SUS0042,SUS0139,5,Mixed
E0155,SUS0001,SUS0034,5,Mixed
E0156,SUS0078,SUS0091,5,Mixed
E0157,SUS0113,SUS0139,5,Mixed
E0158,SUS0013,SUS0058,5,Mixed
E0159,SUS0011,SUS0135,5,Mixed
E0160,SUS0108,SUS0127,5,Mixed
E0161,SUS0131,SUS0142,5,Mixed
E0162,SUS0061,SUS0112,5,Mixed
E0163,SUS0059,SUS0147,4,Mixed
E0164,SUS0038,SUS0132,4,Mixed
E0165,SUS0007,SUS0137,4,Mixed
E0166,SUS0075,SUS0114,4,Mixed
E0167,SUS0049,SUS0113,4,Mixed
E0168,SUS0080,SUS0127,4,Mixed
E0169,SUS0073,SUS0094,4,Mixed
E0170,SUS0078,SUS0105,4,Mixed
E0171,SUS0062,SUS0137,4,Mixed
E0172,SUS0042,SUS0140,4,Mixed
E0173,SUS0020,SUS0096,4,Mixed
E0174,SUS0015,SUS0079,4,Mixed
E0175,SUS0046,SUS0075,4,Mixed
E0176,SUS0107,SUS0126,4,Mixed
E0177,SUS0133,SUS0139,4,Mixed
E0178,SUS0001,SUS0082,4,Mixed
E0179,SUS0047,SUS0138,4,Mixed
E0180,SUS0028,SUS0129,4,Mixed
E0181,SUS0101,SUS0123,4,Mixed
E0182,SUS0090,SUS0127,4,Mixed
E0183,SUS0024,SUS0070,4,Mixed
E0184,SUS0034,SUS0044,4,Mixed
E0185,SUS0043,SUS0066,4,Mixed
E0186,SUS0145,SUS0146,4,Mixed
E0187,SUS0034,SUS0053,4,Mixed
E0188,SUS0031,SUS0094,4,Mixed
E0189,SUS0085,SUS0125,4,Mixed
E0190,SUS0001,SUS0136,4,Mixed
E0191,SUS0122,SUS0147,4,Mixed
E0192,SUS0021,SUS0146,4,Mixed
E0193,SUS0023,SUS0081,4,Mixed
E0194,SUS0050,SUS0088,4,Mixed
E0195,SUS0049,SUS0065,4,Mixed
E0196,SUS0120,SUS0135,4,Mixed
E0197,SUS0065,SUS0113,4,Mixed
E0198,SUS0028,SUS0103,4,Mixed
E0199,SUS0081,SUS0111,4,Mixed
E0200,SUS0013,SUS0023,4,Mixed
E0201,SUS0059,SUS0070,4,Mixed
E0202,SUS0068,SUS0144,4,Mixed
E0203,SUS0038,SUS0079,4,Mixed
E0204,SUS0080,SUS0135,4,Mixed
E0205,SUS0028,SUS0029,4,Mixed
E0206,SUS0053,SUS0136,4,Mixed
E0207,SUS0010,SUS0138,4,Mixed
E0208,SUS0040,SUS0061,4,Mixed
E0209,SUS0072,SUS0101,4,Mixed
E0210,SUS0009,SUS0147,4,Mixed
E0211,SUS0068,SUS0075,4,Mixed
E0212,SUS0046,SUS0144,4,Mixed
E0213,SUS0055,SUS0150,4,Mixed
E0214,SUS0066,SUS0098,4,Mixed
E0215,SUS0028,SUS0064,4,Mixed
E0216,SUS0007,SUS0027,4,Mixed
E0217,SUS0119,SUS0134,4,Mixed
E0218,SUS0003,SUS0136,4,Mixed
E0219,SUS0092,SUS0147,4,Mixed
E0220,SUS0080,SUS0090,4,Mixed
E0221,SUS0006,SUS0011,4,Mixed
E0222,SUS0024,SUS0048,4,Mixed
E0223,SUS0091,SUS0105,4,Mixed
E0224,SUS0049,SUS0063,4,Mixed
E0225,SUS0119,SUS0132,4,Mixed
E0226,SUS0023,SUS0069,4,Mixed
E0227,SUS0031,SUS0040,4,Mixed
E0228,SUS0072,SUS0123,4,Mixed
E0229,SUS0103,SUS0129,4,Mixed
E0230,SUS0018,SUS0110,4,Mixed
E0231,SUS0001,SUS0089,4,Mixed
E0232,SUS0036,SUS0137,4,Mixed
E0233,SUS0049,SUS0056,4,Mixed
E0234,SUS0054,SUS0117,4,Mixed
E0235,SUS0012,SUS0017,4,Mixed
E0236,SUS0049,SUS0104,4,Mixed
E0237,SUS0053,SUS0074,4,Mixed
E0238,SUS0019,SUS0124,4,Mixed
E0239,SUS0063,SUS0133,4,Mixed
E0240,SUS0024,SUS0092,4,Mixed
E0241,SUS0010,SUS0017,4,Mixed
E0242,SUS0002,SUS0123,4,Mixed
E0243,SUS0062,SUS0093,4,Mixed
E0244,SUS0008,SUS0117,4,Mixed
E0245,SUS0082,SUS0130,4,Mixed
E0246,SUS0026,SUS0090,4,Mixed
E0247,SUS0014,SUS0132,4,Mixed
E0248,SUS0036,SUS0141,4,Mixed
E0249,SUS0013,SUS0068,4,Mixed
E0250,SUS0006,SUS0031,4,Mixed
E0251,SUS0119,SUS0127,4,Mixed
E0252,SUS0029,SUS0129,4,Mixed
E0253,SUS0033,SUS0052,4,Mixed
E0254,SUS0031,SUS0052,4,Mixed
E0255,SUS0064,SUS0081,4,Mixed
E0256,SUS0027,SUS0036,4,Mixed
E0257,SUS0012,SUS0128,4,Mixed
E0258,SUS0010,SUS0030,4,Mixed
E0259,SUS0042,SUS0086,4,Mixed
E0260,SUS0020,SUS0089,4,Mixed
E0261,SUS0030,SUS0047,4,Mixed
E0262,SUS0096,SUS0118,4,Mixed
E0263,SUS0054,SUS0111,4,Mixed
E0264,SUS0048,SUS0088,4,Mixed
E0265,SUS0113,SUS0133,4,Mixed
E0266,SUS0056,SUS0063,4,Mixed
E0267,SUS0098,SUS0108,4,Mixed
E0268,SUS0018,SUS0126,4,Mixed
E0269,SUS0093,SUS0100,4,Mixed
E0270,SUS0001,SUS0085,4,Mixed
E0271,SUS0071,SUS0073,4,Mixed
E0272,SUS0005,SUS0077,4,Mixed
E0273,SUS0054,SUS0141,4,Mixed
E0274,SUS0005,SUS0065,4,Mixed
E0275,SUS0110,SUS0126,4,Mixed
E0276,SUS0077,SUS0104,4,Mixed
E0277,SUS0010,SUS0022,4,Mixed
E0278,SUS0017,SUS0132,4,Mixed
E0279,SUS0111,SUS0150,4,Mixed
E0280,SUS0093,SUS0116,4,Mixed
E0281,SUS0055,SUS0091,4,Mixed
E0282,SUS0110,SUS0114,4,Mixed
E0283,SUS0070,SUS0092,4,Mixed
E0284,SUS0023,SUS0089,4,Mixed
E0285,SUS0090,SUS0144,4,Mixed
E0286,SUS0045,SUS0051,4,Mixed
E0287,SUS0015,SUS0038,4,Mixed
E0288,SUS0032,SUS0085,4,Mixed
E0289,SUS0029,SUS0040,4,Mixed
E0290,SUS0024,SUS0085,4,Mixed
E0291,SUS0070,SUS0147,4,Mixed
E0292,SUS0034,SUS0074,3,Call
E0293,SUS0027,SUS0133,3,Call
E0294,SUS0026,SUS0082,3,Call
E0295,SUS0061,SUS0135,3,Call
E0296,SUS0035,SUS0053,3,Call
E0297,SUS0102,SUS0136,3,Call
E0298,SUS0009,SUS0087,3,Call
E0299,SUS0058,SUS0089,3,Call
E0300,SUS0005,SUS0104,3,Call
E0301,SUS0054,SUS0074,3,Call
E0302,SUS0071,SUS0149,3,Call
E0303,SUS0023,SUS0124,3,Call
E0304,SUS0076,SUS0095,3,Call
E0305,SUS0056,SUS0064,3,Call
E0306,SUS0039,SUS0119,3,Call
E0307,SUS0014,SUS0119,3,Call
E0308,SUS0149,SUS0150,3,Call
E0309,SUS0021,SUS0121,3,Call
E0310,SUS0130,SUS0136,3,Call
E0311,SUS0027,SUS0100,3,Call
E0312,SUS0085,SUS0146,3,Call
E0313,SUS0052,SUS0054,3,Call
E0314,SUS0075,SUS0113,3,Call
E0315,SUS0030,SUS0107,3,Call
E0316,SUS0056,SUS0113,3,Call
E0317,SUS0011,SUS0054,3,Call
E0318,SUS0026,SUS0051,3,Call
E0319,SUS0025,SUS0042,3,Call
E0320,SUS0004,SUS0007,3,Call
E0321,SUS0022,SUS0047,3,Call
E0322,SUS0090,SUS0108,3,Call
E0323,SUS0012,SUS0060,3,Call
E0324,SUS0052,SUS0117,3,Call
E0325,SUS0005,SUS0139,3,Call
E0326,SUS0049,SUS0086,3,Call
E0327,SUS0046,SUS0068,3,Call
E0328,SUS0014,SUS0015,3,Call
E0329,SUS0096,SUS0148,3,Call
E0330,SUS0077,SUS0133,3,Call
E0331,SUS0036,SUS0149,3,Call
E0332,SUS0005,SUS0049,3,Call
E0333,SUS0041,SUS0111,3,Call
E0334,SUS0013,SUS0118,3,Call
E0335,SUS0064,SUS0105,3,Call
E0336,SUS0058,SUS0144,3,Call
E0337,SUS0036,SUS0072,3,Call
E0338,SUS0010,SUS0142,3,Call
E0339,SUS0020,SUS0124,3,Call
E0340,SUS0079,SUS0132,3,Call
E0341,SUS0040,SUS0092,3,Call
E0342,SUS0045,SUS0138,3,Call
E0343,SUS0074,SUS0102,3,Call
E0344,SUS0046,SUS0139,3,Call
E0345,SUS0060,SUS0083,3,Call
E0346,SUS0030,SUS0110,3,Call
E0347,SUS0024,SUS0059,3,Call
E0348,SUS0013,SUS0148,3,Call
E0349,SUS0057,SUS0065,3,Call
E0350,SUS0029,SUS0103,3,Call
E0351,SUS0017,SUS0122,3,Call
E0352,SUS0040,SUS0054,3,Call
E0353,SUS0077,SUS0145,3,Call
E0354,SUS0034,SUS0130,3,Call
E0355,SUS0024,SUS0084,3,Call
E0356,SUS0051,SUS0053,3,Call
E0357,SUS0062,SUS0149,3,Call
E0358,SUS0018,SUS0138,3,Call
E0359,SUS0086,SUS0113,3,Call
E0360,SUS0049,SUS0077,3,Call
E0361,SUS0074,SUS0097,3,Call
E0362,SUS0059,SUS0092,3,Call
E0363,SUS0035,SUS0136,3,Call
E0364,SUS0109,SUS0114,3,Call
E0365,SUS0006,SUS0094,3,Call
E0366,SUS0006,SUS0008,3,Call
E0367,SUS0088,SUS0149,3,Call
E0368,SUS0004,SUS0137,3,Call
E0369,SUS0082,SUS0136,3,Call
E0370,SUS0010,SUS0110,3,Call
E0371,SUS0081,SUS0124,3,Call
E0372,SUS0037,SUS0047,3,Call
E0373,SUS0044,SUS0136,3,Call
E0374,SUS0032,SUS0035,3,Call
E0375,SUS0097,SUS0102,3,Call
E0376,SUS0128,SUS0129,3,Call
E0377,SUS0094,SUS0120,3,Call
E0378,SUS0036,SUS0093,3,Call
E0379,SUS0051,SUS0066,3,Call
E0380,SUS0022,SUS0106,3,Call
E0381,SUS0051,SUS0127,3,Call
E0382,SUS0027,SUS0116,3,Call
E0383,SUS0028,SUS0078,3,Call
E0384,SUS0106,SUS0126,3,Call
E0385,SUS0109,SUS0113,3,Call
E0386,SUS0055,SUS0078,3,Call
E0387,SUS0073,SUS0112,3,Call
E0388,SUS0060,SUS0099,3,Call
E0389,SUS0016,SUS0040,3,Call
E0390,SUS0082,SUS0088,3,Call
E0391,SUS0093,SUS0141,3,Call
E0392,SUS0020,SUS0109,3,Call
E0393,SUS0112,SUS0120,3,Call
E0394,SUS0056,SUS0133,3,Call
E0395,SUS0079,SUS0119,3,Call
E0396,SUS0066,SUS0112,3,Call
E0397,SUS0038,SUS0119,3,Call
E0398,SUS0028,SUS0055,3,Call
E0399,SUS0061,SUS0117,3,Call
E0400,SUS0084,SUS0088,3,Call
E0401,SUS0060,SUS0072,3,Call
E0402,SUS0126,SUS0143,3,Call
E0403,SUS0086,SUS0133,3,Call
E0404,SUS0003,SUS0109,3,Call
E0405,SUS0053,SUS0102,3,Call
E0406,SUS0005,SUS0057,3,Call
E0407,SUS0107,SUS0142,3,Call
E0408,SUS0011,SUS0061,3,Call
E0409,SUS0012,SUS0075,3,Call
E0410,SUS0045,SUS0127,3,Call
E0411,SUS0031,SUS0093,3,Call
E0412,SUS0047,SUS0131,3,Call
E0413,SUS0019,SUS0096,3,Call
E0414,SUS0091,SUS0129,3,Call
E0415,SUS0034,SUS0102,3,Call
E0416,SUS0011,SUS0068,3,Call
E0417,SUS0010,SUS0131,3,Call
E0418,SUS0091,SUS0103,3,Call
E0419,SUS0014,SUS0101,3,Call
E0420,SUS0045,SUS0104,3,Call
E0421,SUS0008,SUS0040,3,Call
E0422,SUS0113,SUS0140,3,Call
E0423,SUS0090,SUS0142,3,Call
E0424,SUS0004,SUS0027,3,Call
E0425,SUS0058,SUS0124,3,Call
E0426,SUS0014,SUS0067,3,Call
E0427,SUS0053,SUS0082,3,Call
E0428,SUS0004,SUS0093,3,Call
E0429,SUS0045,SUS0099,3,Call
E0430,SUS0110,SUS0112,3,Call
E0431,SUS0007,SUS0093,3,Call
E0432,SUS0105,SUS0150,3,Call
E0433,SUS0010,SUS0047,3,Call
E0434,SUS0020,SUS0069,3,Call
E0435,SUS0063,SUS0115,3,Call
E0436,SUS0057,SUS0087,3,Call
E0437,SUS0032,SUS0097,3,Call
E0438,SUS0069,SUS0148,3,Call
E0439,SUS0064,SUS0129,3,Call
E0440,SUS0035,SUS0082,3,Call
E0441,SUS0121,SUS0125,3,Call
E0442,SUS0044,SUS0082,3,Call
E0443,SUS0030,SUS0131,3,Call
E0444,SUS0067,SUS0073,3,Call
E0445,SUS0022,SUS0054,3,Call
E0446,SUS0046,SUS0085,3,Call
E0447,SUS0111,SUS0124,3,Call
E0448,SUS0031,SUS0036,3,Call
E0449,SUS0008,SUS0011,3,Call
E0450,SUS0031,SUS0054,3,Call
E0451,SUS0042,SUS0054,3,Call
E0452,SUS0024,SUS0104,3,Call
E0453,SUS0008,SUS0061,3,Call
E0454,SUS0064,SUS0138,3,Call
E0455,SUS0017,SUS0091,3,Call
E0456,SUS0018,SUS0096,3,Call
E0457,SUS0007,SUS0062,3,Call
E0458,SUS0107,SUS0118,3,Call
E0459,SUS0037,SUS0128,3,Call
E0460,SUS0006,SUS0093,3,Call
E0461,SUS0046,SUS0145,3,Call
E0462,SUS0076,SUS0106,3,Call
E0463,SUS0014,SUS0032,3,Call
E0464,SUS0047,SUS0143,3,Call
E0465,SUS0047,SUS0056,3,Call
E0466,SUS0116,SUS0120,3,Call
E0467,SUS0048,SUS0054,3,Call
E0468,SUS0068,SUS0114,3,Call
E0469,SUS0061,SUS0094,3,Call
E0470,SUS0048,SUS0092,3,Call
E0471,SUS0036,SUS0071,3,Call
E0472,SUS0044,SUS0102,3,Call
E0473,SUS0114,SUS0125,3,Call
E0474,SUS0030,SUS0095,3,Call
E0475,SUS0089,SUS0118,3,Call
E0476,SUS0095,SUS0126,3,Call
E0477,SUS0081,SUS0096,3,Call
E0478,SUS0087,SUS0107,3,Call
E0479,SUS0104,SUS0140,3,Call
E0480,SUS0063,SUS0065,3,Call
E0481,SUS0121,SUS0145,3,Call
E0482,SUS0050,SUS0087,3,Call
E0483,SUS0076,SUS0138,3,Call
E0484,SUS0006,SUS0054,3,Call
E0485,SUS0114,SUS0146,3,Call
E0486,SUS0097,SUS0148,3,Call
E0487,SUS0054,SUS0067,3,Call
E0488,SUS0049,SUS0136,3,Call
E0489,SUS0008,SUS0054,3,Call
E0490,SUS0001,SUS0102,3,Call
E0491,SUS0050,SUS0146,3,Call
E0492,SUS0007,SUS0100,3,Call
E0493,SUS0032,SUS0034,2,Call
E0494,SUS0056,SUS0066,2,Call
E0495,SUS0037,SUS0122,2,Call
E0496,SUS0085,SUS0114,2,Call
E0497,SUS0104,SUS0115,2,Call
E0498,SUS0041,SUS0084,2,Call
E0499,SUS0003,SUS0074,2,Call
E0500,SUS0076,SUS0146,2,Call
