transaction_id,timestamp,source_suspect_id,target_suspect_id,amount_inr,channel,purpose,risk_flag
TXN00048,2026-08-20 01:29:00,SUS0032,SUS0044,439738.75,Wallet,Unknown,Normal
TXN00049,2026-08-21 02:36:00,SUS0062,SUS0071,447657.75,Bank Transfer,Goods,Normal
TXN00050,2026-08-22 03:43:00,SUS0086,SUS0139,455576.75,UPI,Loan,Normal
TXN00051,2026-08-23 04:50:00,SUS0138,SUS0143,463495.75,Cash Deposit,Consulting,Normal
TXN00052,2026-08-24 05:57:00,SUS0066,SUS0127,471414.75,Wallet,Unknown,Normal
TXN00053,2026-08-25 06:04:00,SUS0048,SUS0050,479333.75,Bank Transfer,Goods,Normal
TXN00054,2026-08-26 07:11:00,SUS0083,SUS0099,485877.5,UPI,Loan,Normal
TXN00055,2026-08-27 08:18:00,SUS0090,SUS0098,493796.5,Cash Deposit,Consulting,Normal
TXN00056,2026-08-28 09:25:00,SUS0063,SUS0139,501715.5,Wallet,Unknown,Normal
TXN00057,2026-08-01 10:32:00,SUS0029,SUS0055,509634.5,Bank Transfer,Goods,Normal
TXN00058,2026-08-02 11:39:00,SUS0008,SUS0067,517553.5,UPI,Loan,Normal
TXN00059,2026-08-03 12:46:00,SUS0026,SUS0098,525472.5,Cash Deposit,Consulting,Normal
TXN00060,2026-08-04 13:53:00,SUS0028,SUS0091,533391.5,Wallet,Unknown,Normal
TXN00061,2026-08-05 14:00:00,SUS0039,SUS0134,541310.5,Bank Transfer,Goods,Normal
TXN00062,2026-08-06 15:07:00,SUS0064,SUS0103,549229.5,UPI,Loan,Normal
TXN00063,2026-08-07 16:14:00,SUS0060,SUS0123,557148.5,Cash Deposit,Consulting,Normal
TXN00064,2026-08-08 17:21:00,SUS0068,SUS0145,565067.5,Wallet,Unknown,Normal
TXN00065,2026-08-09 18:28:00,SUS0063,SUS0113,572986.5,Bank Transfer,Goods,Normal
TXN00066,2026-08-10 19:35:00,SUS0083,SUS0101,580905.5,UPI,Loan,Normal
TXN00067,2026-08-11 20:42:00,SUS0026,SUS0066,588824.5,Cash Deposit,Consulting,Normal
TXN00068,2026-08-12 21:49:00,SUS0015,SUS0039,596743.5,Wallet,Unknown,Normal
TXN00069,2026-08-13 22:56:00,SUS0046,SUS0125,604662.5,Bank Transfer,Goods,Normal
TXN00070,2026-08-14 00:03:00,SUS0007,SUS0036,612581.5,UPI,Loan,Normal
TXN00071,2026-08-15 01:10:00,SUS0093,SUS0137,620500.5,Cash Deposit,Consulting,Normal
TXN00072,2026-08-16 02:17:00,SUS0002,SUS0033,628419.5,Wallet,Unknown,Normal
TXN00073,2026-08-17 03:24:00,SUS0114,SUS0145,636338.5,Bank Transfer,Goods,Normal
TXN00074,2026-08-18 04:31:00,SUS0054,SUS0073,644257.5,UPI,Loan,Normal
TXN00075,2026-08-19 05:38:00,SUS0012,SUS0030,652176.5,Cash Deposit,Consulting,Normal
TXN00076,2026-08-20 06:45:00,SUS0043,SUS0108,660095.5,Wallet,Unknown,Normal
TXN00077,2026-08-21 07:52:00,SUS0001,SUS0032,668014.5,Bank Transfer,Goods,Normal
TXN00078,2026-08-22 08:59:00,SUS0054,SUS0061,675933.5,UPI,Loan,Normal
TXN00079,2026-08-23 09:06:00,SUS0078,SUS0150,683852.5,Cash Deposit,Consulting,Normal
TXN00080,2026-08-24 10:13:00,SUS0004,SUS0071,691771.5,Wallet,Unknown,Normal
TXN00081,2026-08-25 11:20:00,SUS0089,SUS0111,699690.5,Bank Transfer,Goods,Normal
TXN00082,2026-08-26 12:27:00,SUS0002,SUS0060,707609.5,UPI,Loan,Normal
TXN00083,2026-08-27 13:34:00,SUS0022,SUS0131,715528.5,Cash Deposit,Consulting,Normal
TXN00084,2026-08-28 14:41:00,SUS0012,SUS0095,723447.5,Wallet,Unknown,Normal
TXN00085,2026-08-01 15:48:00,SUS0029,SUS0150,731366.5,Bank Transfer,Goods,Normal
TXN00086,2026-08-02 16:55:00,SUS0078,SUS0129,739285.5,UPI,Loan,Normal
TXN00087,2026-08-03 17:02:00,SUS0080,SUS0108,747204.5,Cash Deposit,Consulting,Normal
TXN00088,2026-08-04 18:09:00,SUS0057,SUS0140,755123.5,Wallet,Unknown,Normal
TXN00089,2026-08-05 19:16:00,SUS0041,SUS0148,763042.5,Bank Transfer,Goods,Normal
TXN00090,2026-08-06 20:23:00,SUS0084,SUS0147,769586.25,UPI,Loan,Normal
TXN00091,2026-08-07 21:30:00,SUS0058,SUS0148,777505.25,Cash Deposit,Consulting,Normal
TXN00092,2026-08-08 22:37:00,SUS0054,SUS0094,785424.25,Wallet,Unknown,Normal
TXN00093,2026-08-09 00:44:00,SUS0137,SUS0149,793343.25,Bank Transfer,Goods,Normal
TXN00094,2026-08-10 01:51:00,SUS0083,SUS0123,801262.25,UPI,Loan,Normal
TXN00095,2026-08-11 02:58:00,SUS0075,SUS0145,809181.25,Cash Deposit,Consulting,Normal
TXN00096,2026-08-12 03:05:00,SUS0050,SUS0084,817100.25,Wallet,Unknown,Normal
TXN00097,2026-08-13 04:12:00,SUS0013,SUS0089,825019.25,Bank Transfer,Goods,Normal
TXN00098,2026-08-14 05:19:00,SUS0026,SUS0043,832938.25,UPI,Loan,Normal
TXN00099,2026-08-15 06:26:00,SUS0033,SUS0083,840857.25,Cash Deposit,Consulting,Normal
TXN00100,2026-08-16 07:33:00,SUS0044,SUS0074,848776.25,Wallet,Unknown,Normal
TXN00101,2026-08-17 08:40:00,SUS0023,SUS0096,856695.25,Bank Transfer,Goods,Normal
TXN00102,2026-08-18 09:47:00,SUS0035,SUS0044,864614.25,UPI,Loan,Normal
TXN00103,2026-08-19 10:54:00,SUS0051,SUS0080,872533.25,Cash Deposit,Consulting,Normal
TXN00104,2026-08-20 11:01:00,SUS0045,SUS0090,880452.25,Wallet,Unknown,Normal
TXN00105,2026-08-21 12:08:00,SUS0088,SUS0147,888371.25,Bank Transfer,Goods,Normal
TXN00106,2026-08-22 13:15:00,SUS0027,SUS0062,896290.25,UPI,Loan,Normal
TXN00107,2026-08-23 14:22:00,SUS0019,SUS0081,904209.25,Cash Deposit,Consulting,Normal
TXN00108,2026-08-24 15:29:00,SUS0018,SUS0122,912128.25,Wallet,Unknown,Normal
TXN00109,2026-08-25 16:36:00,SUS0015,SUS0132,920047.25,Bank Transfer,Goods,Normal
TXN00110,2026-08-26 17:43:00,SUS0034,SUS0097,927966.25,UPI,Loan,Normal
TXN00111,2026-08-27 18:50:00,SUS0091,SUS0150,935885.25,Cash Deposit,Consulting,Normal
TXN00112,2026-08-28 19:57:00,SUS0118,SUS0124,943804.25,Wallet,Unknown,Normal
TXN00113,2026-08-01 20:04:00,SUS0027,SUS0137,951723.25,Bank Transfer,Goods,Normal
TXN00114,2026-08-02 21:11:00,SUS0116,SUS0149,959642.25,UPI,Loan,Normal
TXN00115,2026-08-03 22:18:00,SUS0043,SUS0045,967561.25,Cash Deposit,Consulting,Normal
TXN00116,2026-08-04 00:25:00,SUS0109,SUS0121,975480.25,Wallet,Unknown,Normal
TXN00117,2026-08-05 01:32:00,SUS0025,SUS0104,983399.25,Bank Transfer,Goods,Normal
TXN00118,2026-08-06 02:39:00,SUS0053,SUS0097,991318.25,UPI,Loan,Normal
TXN00119,2026-08-07 03:46:00,SUS0084,SUS0092,999237.25,Cash Deposit,Consulting,Normal
TXN00120,2026-08-08 04:53:00,SUS0012,SUS0126,1007156.25,Wallet,Unknown,Normal
TXN00121,2026-08-09 05:00:00,SUS0037,SUS0126,1015075.25,Bank Transfer,Goods,Normal
TXN00122,2026-08-10 06:07:00,SUS0011,SUS0117,1022994.25,UPI,Loan,Normal
TXN00123,2026-08-11 07:14:00,SUS0103,SUS0150,1030913.25,Cash Deposit,Consulting,Normal
TXN00124,2026-08-12 08:21:00,SUS0004,SUS0116,1038832.25,Wallet,Unknown,Normal
TXN00125,2026-08-13 09:28:00,SUS0114,SUS0121,1046751.25,Bank Transfer,Goods,Normal
TXN00126,2026-08-14 10:35:00,SUS0033,SUS0123,1054670.25,UPI,Loan,Normal
TXN00127,2026-08-15 11:42:00,SUS0009,SUS0088,1062589.25,Cash Deposit,Consulting,Normal
TXN00128,2026-08-16 12:49:00,SUS0122,SUS0126,1070508.25,Wallet,Unknown,Normal
TXN00129,2026-08-17 13:56:00,SUS0065,SUS0104,1078427.25,Bank Transfer,Goods,Normal
TXN00130,2026-08-18 14:03:00,SUS0068,SUS0125,1086346.25,UPI,Loan,Normal
TXN00131,2026-08-19 15:10:00,SUS0112,SUS0117,1094265.25,Cash Deposit,Consulting,Normal
TXN00132,2026-08-20 16:17:00,SUS0072,SUS0099,1102184.25,Wallet,Unknown,Normal
TXN00133,2026-08-21 17:24:00,SUS0070,SUS0088,1110103.25,Bank Transfer,Goods,Normal
TXN00134,2026-08-22 18:31:00,SUS0008,SUS0094,1118022.25,UPI,Loan,Normal
TXN00135,2026-08-23 19:38:00,SUS0077,SUS0139,1125941.25,Cash Deposit,Consulting,Normal
TXN00136,2026-08-24 20:45:00,SUS0025,SUS0133,1133860.25,Wallet,Unknown,Normal
TXN00137,2026-08-25 21:52:00,SUS0112,SUS0135,1141779.25,Bank Transfer,Goods,Normal
TXN00138,2026-08-26 22:59:00,SUS0070,SUS0084,1149698.25,UPI,Loan,Normal
TXN00139,2026-08-27 00:06:00,SUS0071,SUS0137,1157617.25,Cash Deposit,Consulting,Normal
TXN00140,2026-08-28 01:13:00,SUS0016,SUS0054,1165536.25,Wallet,Unknown,Normal
TXN00141,2026-08-01 02:20:00,SUS0041,SUS0069,1173455.25,Bank Transfer,Goods,Normal
TXN00142,2026-08-02 03:27:00,SUS0001,SUS0097,1181374.25,UPI,Loan,Normal
TXN00143,2026-08-03 04:34:00,SUS0022,SUS0122,1189293.25,Cash Deposit,Consulting,Normal
TXN00144,2026-08-04 05:41:00,SUS0028,SUS0150,1197212.25,Wallet,Unknown,Normal
TXN00145,2026-08-05 06:48:00,SUS0011,SUS0073,1205131.25,Bank Transfer,Goods,Normal
TXN00146,2026-08-06 07:55:00,SUS0029,SUS0078,1213050.25,UPI,Loan,Normal
TXN00147,2026-08-07 08:02:00,SUS0003,SUS0102,1220969.25,Cash Deposit,Consulting,Normal
TXN00148,2026-08-08 09:09:00,SUS0041,SUS0058,1228888.25,Wallet,Unknown,Normal
TXN00149,2026-08-09 10:16:00,SUS0106,SUS0142,1236807.25,Bank Transfer,Goods,Normal
TXN00150,2026-08-10 11:23:00,SUS0031,SUS0061,1244726.25,UPI,Loan,Normal
TXN00151,2026-08-11 12:30:00,SUS0046,SUS0114,1252645.25,Cash Deposit,Consulting,Normal
TXN00152,2026-08-12 13:37:00,SUS0067,SUS0120,1260564.25,Wallet,Unknown,Normal
TXN00153,2026-08-13 14:44:00,SUS0024,SUS0147,1268483.25,Bank Transfer,Goods,Normal
TXN00154,2026-08-14 15:51:00,SUS0042,SUS0139,1276402.25,UPI,Loan,Normal
TXN00155,2026-08-15 16:58:00,SUS0001,SUS0034,1284321.25,Cash Deposit,Consulting,Normal
TXN00156,2026-08-16 17:05:00,SUS0078,SUS0091,1292240.25,Wallet,Unknown,Normal
TXN00157,2026-08-17 18:12:00,SUS0113,SUS0139,1300159.25,Bank Transfer,Goods,Normal
TXN00158,2026-08-18 19:19:00,SUS0013,SUS0058,1308078.25,UPI,Loan,Normal
TXN00159,2026-08-19 20:26:00,SUS0011,SUS0135,1315997.25,Cash Deposit,Consulting,Normal
TXN00160,2026-08-20 21:33:00,SUS0108,SUS0127,1323916.25,Wallet,Unknown,Normal
TXN00161,2026-08-21 22:40:00,SUS0131,SUS0142,1331835.25,Bank Transfer,Goods,Normal
TXN00162,2026-08-22 00:47:00,SUS0061,SUS0112,1339754.25,UPI,Loan,Normal
TXN00163,2026-08-23 01:54:00,SUS0059,SUS0147,1346298.0,Cash Deposit,Consulting,Normal
TXN00164,2026-08-24 02:01:00,SUS0038,SUS0132,1354217.0,Wallet,Unknown,Normal
TXN00165,2026-08-25 03:08:00,SUS0007,SUS0137,1362136.0,Bank Transfer,Goods,Normal
TXN00166,2026-08-26 04:15:00,SUS0075,SUS0114,1370055.0,UPI,Loan,Normal
TXN00167,2026-08-27 05:22:00,SUS0049,SUS0113,1377974.0,Cash Deposit,Consulting,Normal
TXN00168,2026-08-28 06:29:00,SUS0080,SUS0127,1385893.0,Wallet,Unknown,Normal
TXN00169,2026-08-01 07:36:00,SUS0073,SUS0094,1393812.0,Bank Transfer,Goods,Normal
TXN00170,2026-08-02 08:43:00,SUS0078,SUS0105,1401731.0,UPI,Loan,Normal
TXN00171,2026-08-03 09:50:00,SUS0062,SUS0137,1409650.0,Cash Deposit,Consulting,Normal
TXN00172,2026-08-04 10:57:00,SUS0042,SUS0140,1417569.0,Wallet,Unknown,Normal
TXN00173,2026-08-05 11:04:00,SUS0020,SUS0096,1425488.0,Bank Transfer,Goods,Normal
TXN00174,2026-08-06 12:11:00,SUS0015,SUS0079,1433407.0,UPI,Loan,Normal
TXN00175,2026-08-07 13:18:00,SUS0046,SUS0075,1441326.0,Cash Deposit,Consulting,Normal
TXN00176,2026-08-08 14:25:00,SUS0107,SUS0126,1449245.0,Wallet,Unknown,Normal
TXN00177,2026-08-09 15:32:00,SUS0133,SUS0139,1457164.0,Bank Transfer,Goods,Normal
TXN00178,2026-08-10 16:39:00,SUS0001,SUS0082,1465083.0,UPI,Loan,Normal
TXN00179,2026-08-11 17:46:00,SUS0047,SUS0138,1473002.0,Cash Deposit,Consulting,Normal
TXN00180,2026-08-12 18:53:00,SUS0028,SUS0129,1480921.0,Wallet,Unknown,Normal
TXN00181,2026-08-13 19:00:00,SUS0101,SUS0123,1488840.0,Bank Transfer,Goods,Normal
TXN00182,2026-08-14 20:07:00,SUS0090,SUS0127,1496759.0,UPI,Loan,Normal
TXN00183,2026-08-15 21:14:00,SUS0024,SUS0070,1504678.0,Cash Deposit,Consulting,Normal
TXN00184,2026-08-16 22:21:00,SUS0034,SUS0044,1512597.0,Wallet,Unknown,Normal
TXN00185,2026-08-17 00:28:00,SUS0043,SUS0066,1520516.0,Bank Transfer,Goods,Normal
TXN00186,2026-08-18 01:35:00,SUS0145,SUS0146,1528435.0,UPI,Loan,Normal
TXN00187,2026-08-19 02:42:00,SUS0034,SUS0053,1536354.0,Cash Deposit,Consulting,Normal
TXN00188,2026-08-20 03:49:00,SUS0031,SUS0094,1544273.0,Wallet,Unknown,Normal
TXN00189,2026-08-21 04:56:00,SUS0085,SUS0125,1552192.0,Bank Transfer,Goods,Normal
TXN00190,2026-08-22 05:03:00,SUS0001,SUS0136,1560111.0,UPI,Loan,Normal
TXN00191,2026-08-23 06:10:00,SUS0122,SUS0147,1568030.0,Cash Deposit,Consulting,Normal
TXN00192,2026-08-24 07:17:00,SUS0021,SUS0146,1575949.0,Wallet,Unknown,Normal
TXN00193,2026-08-25 08:24:00,SUS0023,SUS0081,1583868.0,Bank Transfer,Goods,Normal
TXN00194,2026-08-26 09:31:00,SUS0050,SUS0088,1591787.0,UPI,Loan,Normal
TXN00195,2026-08-27 10:38:00,SUS0049,SUS0065,1599706.0,Cash Deposit,Consulting,Normal
TXN00196,2026-08-28 11:45:00,SUS0120,SUS0135,1607625.0,Wallet,Unknown,Normal
TXN00197,2026-08-01 12:52:00,SUS0065,SUS0113,1615544.0,Bank Transfer,Goods,Normal
TXN00198,2026-08-02 13:59:00,SUS0028,SUS0103,1623463.0,UPI,Loan,Normal
TXN00199,2026-08-03 14:06:00,SUS0081,SUS0111,1631382.0,Cash Deposit,Consulting,Normal
TXN00200,2026-08-04 15:13:00,SUS0013,SUS0023,1639301.0,Wallet,Unknown,Normal
TXN00201,2026-08-05 16:20:00,SUS0059,SUS0070,1647220.0,Bank Transfer,Goods,Normal
TXN00202,2026-08-06 17:27:00,SUS0068,SUS0144,1655139.0,UPI,Loan,Normal
TXN00203,2026-08-07 18:34:00,SUS0038,SUS0079,1663058.0,Cash Deposit,Consulting,Normal
TXN00204,2026-08-08 19:41:00,SUS0080,SUS0135,1670977.0,Wallet,Unknown,Normal
TXN00205,2026-08-09 20:48:00,SUS0028,SUS0029,1678896.0,Bank Transfer,Goods,Normal
TXN00206,2026-08-10 21:55:00,SUS0053,SUS0136,1686815.0,UPI,Loan,Normal
TXN00207,2026-08-11 22:02:00,SUS0010,SUS0138,1694734.0,Cash Deposit,Consulting,Normal
TXN00208,2026-08-12 00:09:00,SUS0040,SUS0061,1702653.0,Wallet,Unknown,Normal
TXN00209,2026-08-13 01:16:00,SUS0072,SUS0101,1710572.0,Bank Transfer,Goods,Normal
TXN00210,2026-08-14 02:23:00,SUS0009,SUS0147,1718491.0,UPI,Loan,Normal
TXN00211,2026-08-15 03:30:00,SUS0068,SUS0075,1726410.0,Cash Deposit,Consulting,Normal
TXN00212,2026-08-16 04:37:00,SUS0046,SUS0144,1734329.0,Wallet,Unknown,Normal
TXN00213,2026-08-17 05:44:00,SUS0055,SUS0150,1742248.0,Bank Transfer,Goods,Normal
TXN00214,2026-08-18 06:51:00,SUS0066,SUS0098,1750167.0,UPI,Loan,Normal
TXN00215,2026-08-19 07:58:00,SUS0028,SUS0064,1758086.0,Cash Deposit,Consulting,Normal
TXN00216,2026-08-20 08:05:00,SUS0007,SUS0027,1766005.0,Wallet,Unknown,Normal
TXN00217,2026-08-21 09:12:00,SUS0119,SUS0134,1773924.0,Bank Transfer,Goods,Normal
TXN00218,2026-08-22 10:19:00,SUS0003,SUS0136,1781843.0,UPI,Loan,Normal
TXN00219,2026-08-23 11:26:00,SUS0092,SUS0147,1789762.0,Cash Deposit,Consulting,Normal
TXN00220,2026-08-24 12:33:00,SUS0080,SUS0090,1797681.0,Wallet,Unknown,Normal
TXN00221,2026-08-25 13:40:00,SUS0006,SUS0011,1805600.0,Bank Transfer,Goods,Normal
TXN00222,2026-08-26 14:47:00,SUS0024,SUS0048,1813519.0,UPI,Loan,Normal
TXN00223,2026-08-27 15:54:00,SUS0091,SUS0105,1821438.0,Cash Deposit,Consulting,Normal
TXN00224,2026-08-28 16:01:00,SUS0049,SUS0063,1829357.0,Wallet,Unknown,Normal
TXN00225,2026-08-01 17:08:00,SUS0119,SUS0132,1837276.0,Bank Transfer,Goods,Normal
TXN00226,2026-08-02 18:15:00,SUS0023,SUS0069,1845195.0,UPI,Loan,Normal
TXN00227,2026-08-03 19:22:00,SUS0031,SUS0040,1853114.0,Cash Deposit,Consulting,Normal
TXN00228,2026-08-04 20:29:00,SUS0072,SUS0123,1861033.0,Wallet,Unknown,Normal
TXN00229,2026-08-05 21:36:00,SUS0103,SUS0129,1868952.0,Bank Transfer,Goods,Normal
TXN00230,2026-08-06 22:43:00,SUS0018,SUS0110,1876871.0,UPI,Loan,Normal
TXN00231,2026-08-07 00:50:00,SUS0001,SUS0089,1884790.0,Cash Deposit,Consulting,Normal
TXN00232,2026-08-08 01:57:00,SUS0036,SUS0137,1892709.0,Wallet,Unknown,Normal
TXN00233,2026-08-09 02:04:00,SUS0049,SUS0056,1900628.0,Bank Transfer,Goods,Normal
TXN00234,2026-08-10 03:11:00,SUS0054,SUS0117,1908547.0,UPI,Loan,Normal
TXN00235,2026-08-11 04:18:00,SUS0012,SUS0017,1916466.0,Cash Deposit,Consulting,Normal
TXN00236,2026-08-12 05:25:00,SUS0049,SUS0104,1924385.0,Wallet,Unknown,Normal
TXN00237,2026-08-13 06:32:00,SUS0053,SUS0074,1932304.0,Bank Transfer,Goods,Normal
TXN00238,2026-08-14 07:39:00,SUS0019,SUS0124,1940223.0,UPI,Loan,Normal
TXN00239,2026-08-15 08:46:00,SUS0063,SUS0133,1948142.0,Cash Deposit,Consulting,Normal
TXN00240,2026-08-16 09:53:00,SUS0024,SUS0092,1956061.0,Wallet,Unknown,Normal
TXN00241,2026-08-17 10:00:00,SUS0010,SUS0017,1963980.0,Bank Transfer,Goods,Normal
TXN00242,2026-08-18 11:07:00,SUS0002,SUS0123,1971899.0,UPI,Loan,Normal
TXN00243,2026-08-19 12:14:00,SUS0062,SUS0093,1979818.0,Cash Deposit,Consulting,Normal
TXN00244,2026-08-20 13:21:00,SUS0008,SUS0117,1987737.0,Wallet,Unknown,Normal
TXN00245,2026-08-21 14:28:00,SUS0082,SUS0130,1995656.0,Bank Transfer,Goods,Normal
TXN00246,2026-08-22 15:35:00,SUS0026,SUS0090,2003575.0,UPI,Loan,Normal
TXN00247,2026-08-23 16:42:00,SUS0014,SUS0132,2011494.0,Cash Deposit,Consulting,Normal
TXN00248,2026-08-24 17:49:00,SUS0036,SUS0141,2019413.0,Wallet,Unknown,Normal
TXN00249,2026-08-25 18:56:00,SUS0013,SUS0068,2027332.0,Bank Transfer,Goods,Normal
TXN00250,2026-08-26 19:03:00,SUS0006,SUS0031,2035251.0,UPI,Loan,Normal
TXN00251,2026-08-27 20:10:00,SUS0119,SUS0127,2043170.0,Cash Deposit,Consulting,Normal
TXN00252,2026-08-28 21:17:00,SUS0029,SUS0129,2051089.0,Wallet,Unknown,Normal
TXN00253,2026-08-01 22:24:00,SUS0033,SUS0052,2059008.0,Bank Transfer,Goods,Normal
TXN00254,2026-08-02 00:31:00,SUS0031,SUS0052,2066927.0,UPI,Loan,Normal
TXN00255,2026-08-03 01:38:00,SUS0064,SUS0081,2074846.0,Cash Deposit,Consulting,Normal
TXN00256,2026-08-04 02:45:00,SUS0027,SUS0036,2082765.0,Wallet,Unknown,Normal
TXN00257,2026-08-05 03:52:00,SUS0012,SUS0128,2090684.0,Bank Transfer,Goods,Normal
TXN00258,2026-08-06 04:59:00,SUS0010,SUS0030,2098603.0,UPI,Loan,Normal
TXN00259,2026-08-07 05:06:00,SUS0042,SUS0086,2106522.0,Cash Deposit,Consulting,Normal
TXN00260,2026-08-08 06:13:00,SUS0020,SUS0089,2114441.0,Wallet,Unknown,Normal
TXN00261,2026-08-09 07:20:00,SUS0030,SUS0047,2122360.0,Bank Transfer,Goods,Normal
TXN00262,2026-08-10 08:27:00,SUS0096,SUS0118,2130279.0,UPI,Loan,Normal
TXN00263,2026-08-11 09:34:00,SUS0054,SUS0111,2138198.0,Cash Deposit,Consulting,Normal
TXN00264,2026-08-12 10:41:00,SUS0048,SUS0088,2146117.0,Wallet,Unknown,Normal
TXN00265,2026-08-13 11:48:00,SUS0113,SUS0133,2154036.0,Bank Transfer,Goods,Normal
TXN00266,2026-08-14 12:55:00,SUS0056,SUS0063,2161955.0,UPI,Loan,Normal
TXN00267,2026-08-15 13:02:00,SUS0098,SUS0108,2169874.0,Cash Deposit,Consulting,Normal
TXN00268,2026-08-16 14:09:00,SUS0018,SUS0126,2177793.0,Wallet,Unknown,Normal
TXN00269,2026-08-17 15:16:00,SUS0093,SUS0100,2185712.0,Bank Transfer,Goods,Normal
TXN00270,2026-08-18 16:23:00,SUS0001,SUS0085,2193631.0,UPI,Loan,Normal
TXN00271,2026-08-19 17:30:00,SUS0071,SUS0073,2201550.0,Cash Deposit,Consulting,Normal
